Logical Quotient Rating,Coding Skills Rating,Communication Skills Rating,Self-learning Capability?,Worked in teams ever?,Reading and Writing Skills,Memory Capability Score,Hard/Smart worker,Management or Technical,Certifications,Interested Subjects,Workshops,Type of Company want to settle in?,Interested Career Area,Suggested Job Role
1,8,8,yes,yes,poor,poor,smart worker,Technical,app development,Software Engineering,database security,BPA,testing,Network Security Engineer
7,2,6,yes,no,poor,poor,hard worker,Management,r programming,distributed computing,game development,Finance,system developer,Network Security Engineer
2,1,2,yes,yes,excellent,excellent,hard worker,Technical,shell programming,Management,web technologies,Web Services,developer,Network Security Engineer
6,6,6,yes,yes,medium,poor,smart worker,Technical,full stack,parallel computing,testing,Testing and Maintainance Services,testing,Network Security Engineer
6,5,8,yes,no,excellent,poor,hard worker,Management,r programming,distributed computing,database security,Sales and Marketing,testing,Network Security Engineer
5,1,7,no,no,excellent,poor,smart worker,Management,python,distributed computing,testing,Testing and Maintainance Services,testing,Network Security Engineer
4,1,6,no,yes,medium,medium,smart worker,Technical,app development,networks,system designing,Product based,security,Network Security Engineer
6,3,6,yes,no,excellent,medium,smart worker,Management,python,programming,AWS,SAaS services,Business process analyst,Network Security Engineer
1,4,9,yes,yes,poor,poor,smart worker,Management,python,IOT,testing,Sales and Marketing,developer,Network Security Engineer
6,5,7,no,yes,medium,excellent,smart worker,Management,machine learning,hacking,ethical hacking,Finance,cloud computing,Network Security Engineer
5,9,5,yes,yes,excellent,poor,smart worker,Technical,python,data engineering,data science,Sales and Marketing,system developer,Network Security Engineer
6,6,4,no,yes,medium,poor,hard worker,Management,information security,distributed computing,ethical hacking,Finance,testing,Network Security Engineer
1,6,2,no,yes,poor,poor,hard worker,Technical,shell programming,distributed computing,database security,Product based,cloud computing,Network Security Engineer
8,4,2,no,yes,poor,medium,smart worker,Management,app development,Software Engineering,database security,Cloud Services,security,Network Security Engineer
5,8,7,no,yes,poor,poor,smart worker,Management,full stack,Management,database security,Web Services,developer,Network Security Engineer
9,5,9,yes,no,medium,excellent,hard worker,Technical,r programming,networks,data science,Web Services,developer,Network Security Engineer
5,3,2,yes,no,excellent,medium,smart worker,Technical,full stack,data engineering,testing,Web Services,Business process analyst,Network Security Engineer
3,1,9,no,yes,poor,medium,smart worker,Technical,information security,programming,system designing,BPA,system developer,Network Security Engineer
1,2,9,no,yes,excellent,excellent,smart worker,Technical,machine learning,Computer Architecture,game development,Service Based,cloud computing,Network Security Engineer
8,5,5,no,yes,excellent,excellent,smart worker,Management,machine learning,Management,game development,Web Services,system developer,Network Security Engineer
3,8,2,no,no,medium,medium,smart worker,Management,hadoop,distributed computing,testing,Sales and Marketing,cloud computing,Network Security Engineer
6,6,1,yes,no,excellent,poor,smart worker,Management,hadoop,parallel computing,system designing,BPA,testing,Network Security Engineer
6,8,9,yes,no,poor,excellent,hard worker,Technical,app development,programming,web technologies,Product based,security,Software Developer
5,6,4,no,yes,medium,poor,hard worker,Technical,full stack,distributed computing,testing,Cloud Services,system developer,Software Developer
6,1,4,yes,yes,poor,excellent,smart worker,Management,hadoop,distributed computing,system designing,product development,cloud computing,Software Developer
3,4,1,yes,no,excellent,medium,hard worker,Technical,information security,networks,system designing,SAaS services,security,Software Developer
5,3,1,yes,no,medium,excellent,hard worker,Technical,r programming,hacking,testing,Service Based,security,Software Developer
2,7,3,no,no,excellent,poor,hard worker,Technical,r programming,hacking,system designing,BPA,developer,Software Developer
5,2,8,no,no,medium,medium,smart worker,Technical,information security,Management,AWS,product development,cloud computing,Software Developer
9,3,3,no,no,excellent,medium,smart worker,Management,full stack,IOT,data science,product development,developer,Software Developer
1,7,2,yes,yes,excellent,excellent,smart worker,Technical,full stack,hacking,AWS,Service Based,system developer,Software Developer
3,9,2,yes,no,medium,poor,smart worker,Technical,r programming,Software Engineering,data science,Web Services,developer,Software Developer
6,3,9,yes,no,excellent,poor,hard worker,Technical,r programming,Software Engineering,system designing,Product based,developer,Software Developer
9,6,1,no,yes,excellent,excellent,smart worker,Management,machine learning,networks,system designing,Sales and Marketing,developer,Software Developer
5,8,1,no,no,medium,excellent,hard worker,Technical,information security,Computer Architecture,system designing,Product based,system developer,Software Developer
3,5,8,yes,yes,poor,medium,hard worker,Technical,information security,data engineering,database security,Sales and Marketing,developer,Software Developer
1,5,1,no,no,medium,poor,smart worker,Technical,hadoop,hacking,data science,Web Services,developer,Software Developer
2,6,8,yes,yes,poor,poor,hard worker,Management,distro making,data engineering,data science,Testing and Maintainance Services,testing,Software Developer
6,3,7,no,yes,excellent,excellent,smart worker,Technical,hadoop,Software Engineering,game development,Finance,security,Software Developer
3,3,3,no,yes,poor,poor,hard worker,Management,app development,Computer Architecture,web technologies,Testing and Maintainance Services,developer,Software Developer
4,5,3,yes,yes,excellent,poor,smart worker,Technical,shell programming,distributed computing,web technologies,Finance,developer,Software Developer
5,6,5,no,yes,medium,excellent,hard worker,Technical,machine learning,distributed computing,web technologies,SAaS services,Business process analyst,Software Developer
7,6,4,yes,no,poor,poor,smart worker,Technical,python,Computer Architecture,testing,Web Services,testing,Software Developer
2,9,2,yes,no,poor,excellent,hard worker,Management,shell programming,Computer Architecture,database security,Testing and Maintainance Services,security,Software Developer
6,5,2,no,yes,medium,medium,smart worker,Technical,machine learning,networks,web technologies,Cloud Services,Business process analyst,Software Developer
9,6,6,no,yes,poor,poor,smart worker,Technical,r programming,Computer Architecture,game development,SAaS services,system developer,Software Developer
1,3,1,yes,no,excellent,poor,smart worker,Technical,distro making,hacking,ethical hacking,Sales and Marketing,testing,Software Developer
2,8,9,yes,no,medium,poor,hard worker,Technical,full stack,programming,testing,Finance,security,Software Developer
2,5,7,no,yes,poor,medium,hard worker,Technical,app development,Management,game development,product development,system developer,Software Developer
4,8,1,yes,no,poor,poor,hard worker,Technical,information security,Computer Architecture,database security,Testing and Maintainance Services,security,Software Developer
1,9,1,yes,yes,medium,medium,smart worker,Technical,r programming,programming,database security,Cloud Services,Business process analyst,Software Developer
8,5,4,no,no,medium,medium,hard worker,Management,shell programming,Management,game development,Finance,developer,Software Developer
9,2,2,no,no,excellent,poor,smart worker,Management,hadoop,Computer Architecture,system designing,Testing and Maintainance Services,system developer,Software Developer
6,3,3,no,yes,medium,medium,hard worker,Management,app development,Computer Architecture,system designing,Finance,cloud computing,Software Developer
2,2,9,yes,no,medium,excellent,smart worker,Technical,distro making,Computer Architecture,system designing,Cloud Services,testing,Software Developer
7,1,9,no,yes,excellent,medium,hard worker,Management,hadoop,Software Engineering,AWS,product development,Business process analyst,Software Developer
9,5,9,no,yes,excellent,excellent,smart worker,Technical,r programming,programming,system designing,Web Services,system developer,Software Developer
3,1,9,no,no,poor,poor,hard worker,Technical,information security,IOT,web technologies,Product based,security,Software Developer
7,9,3,yes,no,poor,medium,smart worker,Technical,machine learning,Software Engineering,system designing,Cloud Services,cloud computing,Software Developer
3,8,3,no,no,medium,medium,hard worker,Technical,machine learning,programming,AWS,SAaS services,testing,Software Developer
6,9,9,yes,yes,excellent,excellent,hard worker,Technical,shell programming,parallel computing,testing,Web Services,cloud computing,Software Developer
3,9,6,yes,no,medium,excellent,smart worker,Management,full stack,Management,system designing,Testing and Maintainance Services,security,Software Developer
7,7,5,yes,no,poor,poor,smart worker,Technical,machine learning,IOT,data science,BPA,system developer,Software Developer
2,4,7,yes,no,medium,excellent,hard worker,Technical,python,networks,game development,Web Services,cloud computing,Software Developer
8,9,1,yes,yes,poor,poor,smart worker,Technical,hadoop,parallel computing,system designing,Finance,system developer,Software Developer
3,5,8,yes,yes,poor,medium,smart worker,Technical,full stack,data engineering,ethical hacking,Web Services,testing,Software Developer
7,8,4,yes,yes,poor,medium,hard worker,Technical,information security,Management,system designing,Service Based,security,Software Developer
8,3,4,yes,yes,poor,poor,hard worker,Technical,distro making,Management,database security,Product based,developer,Software Developer
3,2,5,no,yes,excellent,medium,hard worker,Technical,information security,IOT,game development,Testing and Maintainance Services,cloud computing,Software Developer
2,4,4,no,no,excellent,medium,smart worker,Management,full stack,data engineering,ethical hacking,Service Based,system developer,Software Developer
9,8,8,yes,no,medium,poor,smart worker,Management,machine learning,Software Engineering,testing,product development,developer,Software Developer
5,2,1,no,yes,poor,medium,smart worker,Management,r programming,Management,game development,SAaS services,cloud computing,Software Developer
2,3,6,yes,yes,medium,poor,smart worker,Technical,information security,Software Engineering,game development,Web Services,security,Software Developer
9,7,4,no,yes,excellent,excellent,hard worker,Management,python,distributed computing,web technologies,Testing and Maintainance Services,cloud computing,Software Developer
7,6,6,yes,yes,excellent,excellent,hard worker,Management,app development,programming,system designing,Sales and Marketing,system developer,Software Developer
1,2,9,yes,yes,poor,poor,smart worker,Technical,distro making,Computer Architecture,AWS,Service Based,developer,Software Developer
7,3,8,no,no,poor,medium,smart worker,Technical,r programming,IOT,database security,Web Services,developer,Software Developer
7,9,4,no,yes,poor,excellent,smart worker,Technical,full stack,Computer Architecture,system designing,Product based,developer,Software Developer
3,3,6,yes,no,medium,poor,smart worker,Technical,shell programming,Management,testing,BPA,developer,Software Developer
1,1,3,no,no,excellent,medium,hard worker,Management,machine learning,hacking,data science,Service Based,cloud computing,Software Developer
6,9,3,no,no,medium,medium,hard worker,Management,python,data engineering,system designing,Finance,Business process analyst,Software Developer
9,7,4,no,no,medium,excellent,hard worker,Technical,distro making,data engineering,database security,Finance,testing,Software Developer
6,6,4,no,yes,excellent,medium,smart worker,Management,app development,networks,game development,SAaS services,developer,Software Developer
3,2,3,no,no,poor,medium,hard worker,Management,shell programming,parallel computing,game development,product development,developer,Software Developer
2,8,8,no,yes,excellent,medium,hard worker,Management,app development,Computer Architecture,game development,product development,system developer,Software Developer
7,5,6,no,no,medium,medium,hard worker,Management,app development,Software Engineering,game development,BPA,system developer,Software Developer
5,7,3,yes,yes,poor,excellent,smart worker,Technical,information security,parallel computing,game development,Finance,developer,Software Developer
1,5,3,yes,no,excellent,medium,smart worker,Technical,full stack,distributed computing,system designing,Testing and Maintainance Services,security,Software Developer
9,1,5,no,no,medium,poor,smart worker,Management,distro making,Management,system designing,Cloud Services,testing,Software Developer
3,3,9,no,no,poor,medium,smart worker,Management,full stack,programming,AWS,Testing and Maintainance Services,Business process analyst,Software Developer
3,4,7,yes,yes,excellent,medium,hard worker,Technical,distro making,Software Engineering,web technologies,Cloud Services,security,Software Developer
1,4,7,no,yes,excellent,excellent,smart worker,Technical,machine learning,networks,web technologies,SAaS services,system developer,Software Developer
3,7,7,no,yes,excellent,medium,hard worker,Technical,hadoop,programming,AWS,Cloud Services,system developer,Software Developer
3,7,8,yes,yes,poor,poor,hard worker,Technical,machine learning,programming,data science,SAaS services,security,Software Developer
6,1,9,no,no,poor,excellent,smart worker,Management,distro making,programming,game development,Web Services,security,Software Developer
2,6,8,yes,yes,excellent,poor,smart worker,Management,r programming,distributed computing,AWS,BPA,testing,Software Developer
2,8,8,no,no,poor,excellent,smart worker,Technical,app development,distributed computing,web technologies,Service Based,security,Software Developer
3,7,7,yes,no,medium,excellent,smart worker,Technical,python,networks,game development,Finance,Business process analyst,Software Developer
3,4,9,yes,yes,medium,medium,smart worker,Technical,hadoop,programming,data science,BPA,cloud computing,Software Developer
5,7,8,no,no,excellent,medium,hard worker,Management,distro making,hacking,game development,Sales and Marketing,security,Software Developer
8,4,3,yes,yes,poor,excellent,smart worker,Technical,distro making,Software Engineering,game development,Product based,testing,Software Developer
4,7,7,no,yes,excellent,poor,smart worker,Management,information security,IOT,game development,Cloud Services,testing,Software Developer
8,5,8,yes,no,excellent,excellent,hard worker,Management,full stack,networks,testing,Finance,cloud computing,Software Developer
3,3,4,yes,no,poor,poor,smart worker,Technical,r programming,Software Engineering,AWS,Testing and Maintainance Services,security,Software Developer
6,2,1,yes,no,poor,medium,hard worker,Technical,distro making,Software Engineering,data science,Testing and Maintainance Services,system developer,Software Developer
3,7,6,no,yes,poor,poor,smart worker,Technical,full stack,programming,ethical hacking,Cloud Services,Business process analyst,Software Developer
9,9,1,yes,yes,poor,poor,smart worker,Technical,python,networks,web technologies,Web Services,security,Software Developer
7,1,7,yes,yes,medium,excellent,hard worker,Management,r programming,parallel computing,web technologies,Testing and Maintainance Services,security,Software Developer
1,3,2,no,no,excellent,excellent,smart worker,Technical,shell programming,data engineering,AWS,Product based,Business process analyst,Software Developer
3,7,7,yes,no,poor,excellent,hard worker,Technical,full stack,Software Engineering,ethical hacking,Testing and Maintainance Services,testing,Software Developer
5,4,9,no,yes,medium,poor,hard worker,Management,information security,IOT,AWS,Product based,developer,Software Developer
7,1,3,yes,yes,medium,medium,hard worker,Management,hadoop,Software Engineering,web technologies,Product based,system developer,Software Developer
7,1,7,yes,yes,medium,poor,hard worker,Technical,full stack,IOT,system designing,product development,developer,Software Developer
2,4,4,no,no,medium,poor,hard worker,Technical,machine learning,data engineering,database security,Product based,developer,Software Developer
6,1,3,yes,no,poor,excellent,smart worker,Management,machine learning,IOT,data science,Sales and Marketing,cloud computing,Software Developer
8,4,8,no,no,excellent,excellent,hard worker,Management,machine learning,programming,game development,SAaS services,security,Software Developer
9,7,6,no,yes,excellent,poor,smart worker,Technical,information security,hacking,web technologies,product development,security,Software Developer
9,8,8,yes,no,medium,poor,smart worker,Management,full stack,programming,AWS,Testing and Maintainance Services,security,Software Developer
1,6,9,no,no,excellent,excellent,hard worker,Technical,hadoop,Software Engineering,AWS,BPA,security,Software Developer
3,2,8,yes,no,excellent,medium,hard worker,Management,machine learning,IOT,ethical hacking,BPA,testing,Software Developer
2,2,3,yes,yes,poor,excellent,smart worker,Management,full stack,Software Engineering,AWS,SAaS services,Business process analyst,Software Developer
2,4,5,yes,yes,medium,poor,smart worker,Technical,hadoop,programming,AWS,SAaS services,system developer,Software Developer
6,3,3,no,no,medium,excellent,smart worker,Management,r programming,IOT,game development,Finance,security,Software Engineer
5,5,7,yes,yes,medium,medium,hard worker,Management,app development,networks,ethical hacking,Cloud Services,security,Software Engineer
6,3,3,no,yes,medium,excellent,smart worker,Management,full stack,networks,database security,SAaS services,cloud computing,Software Engineer
8,9,7,yes,no,excellent,excellent,smart worker,Management,machine learning,Software Engineering,system designing,product development,security,Software Engineer
6,8,6,no,no,medium,medium,smart worker,Management,hadoop,distributed computing,database security,Web Services,system developer,Software Engineer
1,8,4,yes,yes,poor,poor,hard worker,Technical,r programming,parallel computing,database security,Web Services,system developer,Software Engineer
1,4,4,no,no,excellent,poor,smart worker,Management,full stack,Software Engineering,ethical hacking,Cloud Services,security,Software Engineer
5,4,3,no,no,excellent,poor,hard worker,Management,python,programming,game development,BPA,cloud computing,Software Engineer
3,1,7,yes,no,poor,excellent,hard worker,Management,full stack,parallel computing,data science,SAaS services,cloud computing,Software Engineer
9,4,6,no,yes,medium,excellent,smart worker,Technical,app development,Management,data science,BPA,testing,Software Engineer
2,5,1,yes,no,medium,medium,hard worker,Management,machine learning,Computer Architecture,web technologies,Finance,system developer,Software Engineer
4,4,4,no,yes,medium,poor,smart worker,Technical,python,hacking,system designing,Sales and Marketing,security,Software Engineer
2,9,7,yes,no,poor,medium,hard worker,Technical,full stack,hacking,testing,BPA,developer,Software Engineer
4,4,3,no,no,medium,poor,smart worker,Technical,distro making,Management,ethical hacking,Web Services,security,Software Engineer
8,9,5,yes,no,poor,medium,smart worker,Management,hadoop,Computer Architecture,data science,Service Based,testing,Software Engineer
6,9,8,yes,no,excellent,poor,smart worker,Management,machine learning,hacking,AWS,Service Based,Business process analyst,Software Engineer
5,6,6,no,no,poor,medium,hard worker,Management,information security,data engineering,system designing,Testing and Maintainance Services,security,Software Engineer
1,9,9,yes,no,excellent,poor,hard worker,Technical,machine learning,programming,web technologies,Service Based,cloud computing,Software Engineer
3,4,6,no,yes,medium,poor,smart worker,Management,distro making,Computer Architecture,system designing,SAaS services,developer,Software Engineer
1,7,5,no,yes,excellent,medium,hard worker,Management,distro making,distributed computing,database security,Finance,developer,Software Engineer
5,9,3,no,no,poor,medium,hard worker,Technical,machine learning,parallel computing,testing,Testing and Maintainance Services,testing,Software Engineer
2,7,4,no,yes,poor,medium,hard worker,Management,hadoop,distributed computing,database security,Web Services,system developer,Software Engineer
2,8,6,no,yes,excellent,excellent,hard worker,Management,machine learning,data engineering,testing,Product based,developer,Software Engineer
3,6,1,no,yes,poor,excellent,smart worker,Management,app development,networks,ethical hacking,BPA,system developer,Software Engineer
8,6,8,no,yes,excellent,medium,hard worker,Management,r programming,Management,system designing,Product based,system developer,Software Engineer
7,1,2,yes,no,excellent,poor,hard worker,Management,machine learning,programming,ethical hacking,Sales and Marketing,developer,Software Engineer
6,5,8,yes,yes,medium,medium,smart worker,Management,hadoop,programming,system designing,BPA,cloud computing,Software Engineer
7,4,7,no,no,medium,poor,hard worker,Management,distro making,distributed computing,game development,Finance,security,Software Engineer
5,1,8,yes,yes,poor,poor,smart worker,Technical,app development,parallel computing,database security,Testing and Maintainance Services,cloud computing,Software Engineer
5,2,5,yes,no,poor,excellent,hard worker,Management,app development,Management,game development,Sales and Marketing,system developer,Software Engineer
1,9,2,yes,no,excellent,excellent,smart worker,Technical,python,Software Engineering,system designing,BPA,cloud computing,Software Engineer
9,2,1,yes,yes,medium,excellent,smart worker,Management,machine learning,parallel computing,system designing,product development,testing,Software Engineer
1,4,9,no,no,medium,excellent,smart worker,Management,information security,Computer Architecture,database security,Finance,cloud computing,Software Engineer
1,8,4,yes,no,poor,poor,smart worker,Technical,machine learning,programming,web technologies,Sales and Marketing,Business process analyst,Software Engineer
2,3,8,yes,no,excellent,excellent,smart worker,Management,python,Software Engineering,AWS,product development,cloud computing,Software Engineer
2,6,3,no,yes,medium,excellent,hard worker,Technical,r programming,IOT,web technologies,Sales and Marketing,testing,Software Engineer
9,7,2,yes,yes,poor,poor,smart worker,Management,full stack,parallel computing,database security,Web Services,security,Software Engineer
7,9,6,yes,no,medium,medium,smart worker,Management,full stack,distributed computing,data science,Service Based,testing,Software Engineer
4,5,1,yes,yes,excellent,medium,smart worker,Technical,information security,Software Engineering,system designing,Testing and Maintainance Services,developer,Software Engineer
8,2,3,yes,yes,excellent,medium,smart worker,Management,app development,distributed computing,game development,Cloud Services,security,Software Engineer
2,8,9,no,no,medium,medium,hard worker,Management,app development,programming,game development,Web Services,security,Software Engineer
1,8,1,no,no,medium,poor,smart worker,Technical,python,parallel computing,web technologies,product development,system developer,Software Engineer
7,5,1,no,yes,medium,excellent,hard worker,Management,distro making,Software Engineering,database security,Testing and Maintainance Services,Business process analyst,Software Engineer
4,7,8,yes,yes,excellent,poor,smart worker,Technical,r programming,distributed computing,data science,Cloud Services,Business process analyst,Software Engineer
9,9,4,no,yes,excellent,poor,smart worker,Management,app development,parallel computing,web technologies,Sales and Marketing,security,Software Engineer
8,4,7,yes,yes,medium,medium,hard worker,Technical,hadoop,parallel computing,web technologies,Web Services,security,Software Engineer
2,1,1,no,no,medium,excellent,hard worker,Technical,information security,networks,game development,Cloud Services,developer,Software Engineer
1,5,4,no,yes,excellent,poor,smart worker,Management,python,Computer Architecture,database security,Finance,Business process analyst,Software Engineer
1,2,4,no,yes,medium,poor,smart worker,Technical,distro making,IOT,system designing,Testing and Maintainance Services,system developer,Software Engineer
3,7,7,yes,yes,medium,medium,smart worker,Technical,information security,hacking,database security,Sales and Marketing,system developer,Software Engineer
6,4,3,no,yes,excellent,poor,smart worker,Management,shell programming,Management,AWS,Finance,cloud computing,Software Engineer
2,7,8,yes,yes,medium,medium,hard worker,Management,distro making,distributed computing,web technologies,Product based,cloud computing,Software Engineer
1,7,2,yes,no,poor,medium,smart worker,Technical,r programming,Computer Architecture,testing,product development,Business process analyst,Software Engineer
7,6,2,yes,yes,excellent,medium,hard worker,Management,hadoop,data engineering,ethical hacking,Product based,system developer,Software Engineer
8,2,8,yes,yes,medium,poor,smart worker,Management,machine learning,distributed computing,database security,Sales and Marketing,cloud computing,Software Engineer
5,1,9,yes,no,poor,medium,smart worker,Technical,full stack,distributed computing,ethical hacking,Sales and Marketing,Business process analyst,Software Engineer
8,5,8,no,no,excellent,excellent,smart worker,Technical,machine learning,Computer Architecture,data science,Cloud Services,system developer,Software Engineer
4,4,5,no,no,excellent,poor,smart worker,Technical,app development,Computer Architecture,AWS,Cloud Services,developer,Software Engineer
7,3,6,no,yes,medium,medium,hard worker,Technical,shell programming,Computer Architecture,web technologies,Finance,testing,Software Engineer
8,2,1,yes,no,medium,poor,smart worker,Management,machine learning,networks,data science,Finance,testing,Software Engineer
6,7,2,no,yes,excellent,excellent,hard worker,Management,information security,programming,web technologies,Testing and Maintainance Services,developer,Software Engineer
2,8,9,yes,no,medium,poor,smart worker,Technical,shell programming,IOT,data science,Web Services,cloud computing,Software Engineer
8,9,3,no,no,poor,medium,smart worker,Technical,app development,programming,AWS,Testing and Maintainance Services,cloud computing,Software Engineer
5,9,4,yes,yes,medium,excellent,smart worker,Management,hadoop,Computer Architecture,web technologies,SAaS services,developer,Software Engineer
1,9,9,no,no,poor,excellent,hard worker,Management,r programming,parallel computing,AWS,Sales and Marketing,developer,Software Engineer
6,4,4,no,no,poor,poor,smart worker,Technical,app development,programming,system designing,Product based,security,Software Engineer
4,4,2,no,no,excellent,poor,hard worker,Management,hadoop,hacking,database security,Product based,developer,Software Engineer
9,5,2,no,no,poor,poor,hard worker,Technical,distro making,Management,system designing,product development,security,Software Engineer
9,4,2,no,no,medium,poor,smart worker,Technical,hadoop,Management,game development,Testing and Maintainance Services,system developer,Software Engineer
8,3,1,no,no,poor,poor,smart worker,Management,information security,Software Engineering,database security,Web Services,security,Software Engineer
1,1,2,no,no,excellent,poor,hard worker,Management,python,networks,database security,product development,cloud computing,Software Engineer
1,4,1,no,no,poor,excellent,smart worker,Management,machine learning,data engineering,game development,Finance,developer,Software Engineer
3,9,9,no,no,excellent,excellent,hard worker,Management,hadoop,hacking,AWS,Product based,testing,Software Engineer
9,3,6,yes,no,poor,medium,smart worker,Technical,r programming,distributed computing,database security,Sales and Marketing,testing,Software Engineer
6,7,8,no,yes,excellent,poor,hard worker,Management,information security,hacking,ethical hacking,Product based,security,Software Engineer
9,7,9,no,yes,medium,excellent,smart worker,Management,information security,distributed computing,ethical hacking,BPA,cloud computing,Software Engineer
5,9,4,no,yes,excellent,poor,smart worker,Technical,machine learning,parallel computing,system designing,Cloud Services,system developer,Software Engineer
8,7,2,yes,yes,excellent,excellent,smart worker,Management,python,programming,web technologies,Cloud Services,Business process analyst,Software Engineer
5,1,8,no,yes,poor,excellent,hard worker,Technical,machine learning,Management,testing,BPA,security,Software Engineer
3,9,2,no,no,excellent,poor,smart worker,Technical,python,parallel computing,testing,Web Services,developer,Software Engineer
4,9,1,no,yes,poor,excellent,hard worker,Technical,full stack,Management,database security,Service Based,system developer,Software Engineer
7,9,8,no,no,poor,medium,smart worker,Technical,r programming,parallel computing,database security,BPA,system developer,Software Engineer
1,6,5,yes,no,poor,excellent,hard worker,Technical,app development,programming,database security,Web Services,developer,Software Engineer
3,9,5,no,no,medium,excellent,hard worker,Management,full stack,IOT,testing,SAaS services,developer,Software Engineer
3,5,9,no,no,poor,medium,smart worker,Management,app development,networks,ethical hacking,Finance,developer,Software Engineer
7,4,7,no,no,poor,poor,hard worker,Technical,machine learning,IOT,AWS,Finance,cloud computing,Software Engineer
9,5,8,no,no,excellent,poor,smart worker,Management,python,programming,web technologies,product development,security,Software Engineer
2,8,6,yes,yes,medium,medium,smart worker,Technical,information security,parallel computing,web technologies,Testing and Maintainance Services,cloud computing,Software Engineer
8,1,7,yes,no,excellent,excellent,hard worker,Technical,shell programming,IOT,web technologies,Finance,developer,Software Engineer
7,8,4,no,no,excellent,poor,hard worker,Technical,information security,networks,game development,Finance,Business process analyst,Software Engineer
9,7,2,no,no,excellent,excellent,smart worker,Technical,r programming,Management,ethical hacking,product development,testing,Software Engineer
2,6,3,no,no,poor,poor,smart worker,Technical,machine learning,Computer Architecture,database security,Service Based,developer,Software Engineer
6,6,1,no,yes,medium,excellent,hard worker,Management,full stack,programming,testing,Web Services,cloud computing,Software Engineer
1,1,2,no,no,poor,excellent,hard worker,Management,distro making,IOT,web technologies,Service Based,Business process analyst,Software Engineer
5,4,1,no,yes,poor,medium,hard worker,Technical,information security,hacking,ethical hacking,Web Services,Business process analyst,Software Engineer
2,9,2,no,no,excellent,poor,smart worker,Management,app development,programming,game development,product development,Business process analyst,Software Engineer
2,3,3,no,yes,poor,medium,hard worker,Management,python,data engineering,data science,Finance,cloud computing,Software Engineer
9,1,6,no,no,poor,poor,hard worker,Management,python,parallel computing,system designing,Testing and Maintainance Services,system developer,Software Engineer
6,4,4,yes,no,poor,medium,hard worker,Management,r programming,Computer Architecture,system designing,Product based,Business process analyst,Software Engineer
6,1,2,no,yes,medium,medium,hard worker,Technical,python,IOT,web technologies,Service Based,testing,Software Engineer
6,7,1,yes,yes,poor,excellent,smart worker,Technical,distro making,parallel computing,system designing,BPA,testing,Software Quality Assurance (QA) / Testing
7,2,7,yes,no,excellent,poor,smart worker,Management,app development,Software Engineering,testing,Cloud Services,testing,Software Quality Assurance (QA) / Testing
9,3,4,no,yes,medium,poor,smart worker,Management,information security,Software Engineering,testing,Web Services,system developer,Software Quality Assurance (QA) / Testing
1,6,2,no,yes,medium,poor,hard worker,Management,python,networks,data science,Web Services,system developer,Software Quality Assurance (QA) / Testing
6,6,9,yes,yes,excellent,poor,hard worker,Technical,machine learning,Computer Architecture,data science,Web Services,cloud computing,Software Quality Assurance (QA) / Testing
6,2,2,yes,no,medium,poor,hard worker,Technical,information security,networks,database security,Service Based,Business process analyst,Software Quality Assurance (QA) / Testing
4,2,8,no,yes,poor,excellent,hard worker,Technical,machine learning,Software Engineering,AWS,Product based,system developer,Software Quality Assurance (QA) / Testing
3,3,7,no,yes,medium,medium,hard worker,Management,information security,networks,web technologies,Web Services,Business process analyst,Software Quality Assurance (QA) / Testing
3,7,6,no,no,excellent,poor,smart worker,Management,app development,Software Engineering,ethical hacking,Testing and Maintainance Services,Business process analyst,Software Quality Assurance (QA) / Testing
9,7,4,yes,yes,poor,excellent,hard worker,Management,app development,IOT,web technologies,Service Based,testing,Software Quality Assurance (QA) / Testing
8,6,2,no,no,excellent,excellent,hard worker,Management,shell programming,distributed computing,game development,BPA,system developer,Software Quality Assurance (QA) / Testing
3,9,1,yes,no,medium,poor,smart worker,Technical,full stack,IOT,ethical hacking,Product based,cloud computing,Software Quality Assurance (QA) / Testing
7,4,1,no,no,poor,excellent,smart worker,Management,full stack,Management,system designing,Web Services,security,Software Quality Assurance (QA) / Testing
3,5,4,yes,yes,medium,excellent,smart worker,Technical,information security,programming,ethical hacking,Testing and Maintainance Services,testing,Software Quality Assurance (QA) / Testing
3,9,7,yes,yes,excellent,poor,hard worker,Technical,information security,IOT,database security,Service Based,developer,Software Quality Assurance (QA) / Testing
9,4,6,yes,yes,excellent,excellent,hard worker,Technical,shell programming,networks,database security,product development,system developer,Software Quality Assurance (QA) / Testing
5,9,9,no,yes,poor,medium,smart worker,Technical,app development,Computer Architecture,data science,Cloud Services,developer,Software Quality Assurance (QA) / Testing
2,8,8,no,no,poor,poor,hard worker,Technical,python,Management,ethical hacking,BPA,developer,Software Quality Assurance (QA) / Testing
4,2,4,yes,no,poor,medium,hard worker,Technical,python,networks,AWS,Cloud Services,cloud computing,Software Quality Assurance (QA) / Testing
5,9,1,yes,no,poor,poor,smart worker,Technical,hadoop,hacking,ethical hacking,BPA,testing,Software Quality Assurance (QA) / Testing
1,9,3,yes,no,excellent,excellent,hard worker,Technical,hadoop,hacking,system designing,SAaS services,Business process analyst,Software Quality Assurance (QA) / Testing
6,4,3,yes,no,medium,poor,hard worker,Management,full stack,parallel computing,system designing,Cloud Services,cloud computing,Software Quality Assurance (QA) / Testing
